scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
dense-20260718008943-8b0c553cd8a2,dense,zero,0,tied,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006590-ec657dafcc0d,standard,edge1,1,tied,0,1,0,0,25,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.8253012048192772,14,0.0008718112524408494,0.448694075940408,-9.223571599582966e-05,,0.0,0.5766423357664233,0.9963503649635036,0.0,1
standard-20260717007090-4502408f70d7,standard,zero,0,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,23,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008387-83051dd35b1d,dense,multi,4,tied,0,1,0,0,78,0.34965034965034963,3,0.016924687623977662,0.814815775603056,0.0013856191548429519,1.716772951319388,0.0,0.4,0.9,0.0,1,0,2,0,0,32,0.04285714285714286,1,0.06689000129699707,0.7376880447069804,0.009378660450683288,,0.0,0.0,0.0,0.0,1
standard-20260717006327-ba8bcb5fe8d4,standard,zero,0,tied,1,0,0,0,54,0.06086956521739131,1,0.6278444943683488,1.0,-0.06169453994787386,,0.0,1.0,1.0,0.0,1,1,0,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006715-080ebeacb67c,standard,zero,0,tied,1,0,0,0,16,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006578-e17b52b3017b,standard,zero,0,tied,1,0,0,0,86,0.023622047244094488,1,0.017754087845484417,0.060105507572491966,0.003014818014734022,2.2397561129898977,0.0,0.0,0.3333333333333333,0.0,1,1,0,0,0,41,0.029411764705882353,1,0.1581021547317505,0.22083411614100137,0.022484693847319843,2.2303119665896856,0.0,0.0,0.0,0.0,1
dense-20260718008628-6f510cf9de34,dense,edge1,1,ie2_degraded,1,0,0,0,36,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,31,0.12790697674418605,2,0.23427317630160938,0.7408196946436708,0.016522366059418328,0.702190336812916,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.0,1
standard-20260717006579-34c5d8999685,standard,zero,0,tied,1,0,0,0,33,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,47,0.10638297872340426,2,0.33021704852581024,0.9999917685985565,-0.019238120821505666,4.607817557167296,0.0,0.6,0.7,0.0,1
dense-20260718009059-89dc85a91dfa,dense,multi,3,tied,0,2,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,95,0.4327485380116959,9,0.28847159175957376,0.9219628007629433,-0.011159654243836414,1.154088886296627,0.013513513513513514,0.527027027027027,0.7567567567567568,0.0,2
dense-20260718009269-a1cc3c274349,dense,multi,4,ie2_improved,0,1,0,0,24,0.03333333333333333,1,0.28076090415318805,0.6386188821246227,0.011774946222770458,0.8904089986445438,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1,1,0,0,0,32,0.10743801652892562,4,0.15597195694079766,0.8807266446260306,0.014586143132562483,0.9950324763636075,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.7692307692307693,2
dense-20260718008520-c02550e21da9,dense,zero,0,tied,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,20,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006564-36f1982d1c77,standard,edge1,1,tied,0,1,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,3,0,0,68,0.26717557251908397,4,0.22713708978678498,0.9152152614934104,-0.025542180085614284,,0.0,0.6857142857142857,0.9142857142857143,0.0,1
standard-20260717006834-87db8e51616f,standard,zero,0,tied,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006652-e69f7d0aadca,standard,zero,0,tied,1,0,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009026-2691c66d60ce,dense,multi,3,ie2_degraded,1,0,0,0,24,0.046875,1,0.3566035528977712,0.7710627118746439,0.015088517928286397,0.6969021562817775,0.3333333333333333,0.0,0.3333333333333333,1.0,1,0,1,0,0,14,0.058823529411764705,1,0.3194812734921773,0.9119447072347006,0.04305046900995609,0.7598223259469318,0.3333333333333333,0.0,0.0,1.0,1
standard-20260717006969-7008a22b9526,standard,edge1,1,ie2_degraded,1,0,0,0,29,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,24,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009006-9ad8097a40ac,dense,multi,4,tied,0,1,0,0,23,0.07792207792207792,2,0.3262644757827123,0.7193909088770548,0.02107422671426651,1.3941829147148666,0.16666666666666666,0.0,0.5,0.5,1,0,1,0,0,26,0.0759493670886076,2,0.66817740102609,0.9469006955623627,0.06117580879239034,0.6773685781936942,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,1
standard-20260717006324-4ed8e4961ced,standard,zero,0,tied,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0
