episode,case,pool,topology,conflict_edge_count,e2_full_success,e2_success,e2_collision,e2_unresolved,e2_timeout,e2_steps,e2_failure_type,oracle_full_success,oracle_success,oracle_collision,oracle_unresolved,oracle_timeout,oracle_steps,oracle_failure_type,oracle_dense_action_share,relation
65,dense-20260718008825-271a6cf36173,dense,edge1,1,1,5,0,0,0,41,success,1,5,0,0,0,38,success,0.459,same
66,dense-20260718009149-779b4acf72aa,dense,multi,3,1,5,0,0,0,69,success,1,5,0,0,0,31,success,0.727,same
67,standard-20260717006583-a45fa2d13895,standard,edge1,1,1,5,0,0,0,90,success,1,5,0,0,0,32,success,0.333,same
68,standard-20260717006517-ffa6d3b0fb1f,standard,edge1,1,1,5,0,0,0,22,success,1,5,0,0,0,15,success,0.216,same
69,standard-20260717006407-457651261137,standard,multi,2,1,5,0,0,0,85,success,0,4,1,0,0,103,collision,0.376,oracle_degraded
70,dense-20260718008303-8dc4b10f5951,dense,multi,2,0,4,1,0,0,24,collision,0,4,0,1,1,300,timeout+unresolved,0.172,same
71,dense-20260718008956-23b63793de30,dense,edge1,1,1,5,0,0,0,29,success,0,3,2,0,0,45,collision,0.722,oracle_degraded
72,dense-20260718008325-2a0732bcdbd8,dense,multi,3,0,4,1,0,0,19,collision,1,5,0,0,0,42,success,0.706,oracle_improved
73,dense-20260718009239-ef66bec842b1,dense,edge1,1,1,5,0,0,0,37,success,0,3,2,0,0,9,collision,0.794,oracle_degraded
74,standard-20260717006776-174c53dac4af,standard,edge1,1,0,3,2,0,0,21,collision,1,5,0,0,0,23,success,0.46,oracle_improved
75,standard-20260717006450-bbc6dcdd3309,standard,edge1,1,1,5,0,0,0,14,success,1,5,0,0,0,27,success,0.257,same
76,standard-20260717007030-b3cc3ab71657,standard,zero,0,1,5,0,0,0,14,success,1,5,0,0,0,15,success,0.0,same
77,dense-20260718008336-1a6505fe1192,dense,edge1,1,1,5,0,0,0,14,success,1,5,0,0,0,59,success,0.492,same
78,dense-20260718008318-e4a06e51d816,dense,edge1,1,1,5,0,0,0,13,success,1,5,0,0,0,38,success,0.881,same
79,standard-20260717006476-2aedf9d5a159,standard,edge1,1,1,5,0,0,0,51,success,0,3,2,0,0,27,collision,0.22,oracle_degraded
80,dense-20260718009333-38e4ac2b5b23,dense,multi,3,1,5,0,0,0,42,success,1,5,0,0,0,42,success,0.861,same
81,dense-20260718009349-6b75be3931d6,dense,multi,4,0,3,0,2,1,300,timeout+unresolved,1,5,0,0,0,90,success,0.581,oracle_improved
82,dense-20260718008523-e6500698fd1c,dense,edge1,1,0,3,2,0,0,27,collision,0,3,2,0,0,26,collision,0.713,same
83,standard-20260717006918-b0115f777111,standard,zero,0,1,5,0,0,0,44,success,1,5,0,0,0,13,success,0.474,same
84,dense-20260718008302-2d4972325616,dense,edge1,1,1,5,0,0,0,28,success,1,5,0,0,0,46,success,0.638,same
85,standard-20260717006588-2a31d14c758a,standard,edge1,1,1,5,0,0,0,24,success,1,5,0,0,0,19,success,0.255,same
86,standard-20260717006319-920c270e24f0,standard,multi,2,1,5,0,0,0,50,success,1,5,0,0,0,43,success,0.284,same
87,dense-20260718008564-5ea3f677f504,dense,multi,4,0,3,2,0,0,46,collision,0,3,2,0,0,115,collision,0.374,same
88,standard-20260717006618-dafb8f31a520,standard,edge1,1,1,5,0,0,0,14,success,1,5,0,0,0,10,success,0.4,same
89,standard-20260717006849-5c6668003fd6,standard,zero,0,1,5,0,0,0,18,success,1,5,0,0,0,31,success,0.333,same
90,standard-20260717006901-879b643b73d5,standard,zero,0,1,5,0,0,0,14,success,1,5,0,0,0,19,success,0.262,same
91,standard-20260717007028-c5c3f54193ac,standard,zero,0,1,5,0,0,0,13,success,1,5,0,0,0,16,success,0.327,same
92,dense-20260718008435-e3afbd232a85,dense,multi,2,1,5,0,0,0,13,success,1,5,0,0,0,51,success,0.433,same
93,dense-20260718009268-8e53efb84d71,dense,multi,4,0,4,1,0,0,30,collision,0,4,1,0,0,21,collision,0.79,same
94,standard-20260717007091-d7058f44f425,standard,edge1,1,0,4,1,0,0,43,collision,1,5,0,0,0,37,success,0.385,oracle_improved
95,standard-20260717006990-5175df243ede,standard,zero,0,1,5,0,0,0,14,success,1,5,0,0,0,14,success,0.0,same
96,standard-20260717006268-973363b26f5f,standard,zero,0,1,5,0,0,0,26,success,1,5,0,0,0,17,success,0.0,same
97,standard-20260717006586-853ab241751d,standard,edge1,1,1,5,0,0,0,19,success,0,3,2,0,0,11,collision,0.233,oracle_degraded
98,standard-20260717006351-be73ad5c10e9,standard,edge1,1,0,4,1,0,0,23,collision,0,3,2,0,0,11,collision,0.475,same
99,standard-20260717007073-ce3818a742ea,standard,edge1,1,1,5,0,0,0,22,success,1,5,0,0,0,23,success,0.364,same
100,dense-20260718008909-83df375df2b6,dense,multi,2,0,4,1,0,0,27,collision,0,1,4,0,0,20,collision,0.949,same
101,standard-20260717006392-20ca8cd04d5b,standard,zero,0,1,5,0,0,0,25,success,1,5,0,0,0,39,success,0.164,same
102,dense-20260718008776-adbe08f7a8c0,dense,edge1,1,0,3,2,0,0,12,collision,0,4,1,0,0,22,collision,0.808,same
103,dense-20260718009138-38a5a2eb225b,dense,zero,0,1,5,0,0,0,13,success,0,4,1,0,0,26,collision,0.712,oracle_degraded
104,dense-20260718009342-e413bb6628e2,dense,multi,5,1,5,0,0,0,31,success,0,2,3,0,0,120,collision,0.896,oracle_degraded
105,standard-20260717006984-13351d0e9eb0,standard,edge1,1,0,4,0,1,1,300,timeout+unresolved,0,4,0,1,1,300,timeout+unresolved,0.003,same
106,dense-20260718008613-0acc802c5c05,dense,multi,3,0,3,2,0,0,21,collision,0,2,1,2,1,300,collision+timeout+unresolved,0.902,same
107,dense-20260718009221-7718af59dbe6,dense,multi,3,1,5,0,0,0,18,success,1,5,0,0,0,20,success,0.712,same
108,dense-20260718009189-8cc89d4891ab,dense,multi,3,0,4,0,1,1,300,timeout+unresolved,0,4,0,1,1,300,timeout+unresolved,0.203,same
109,standard-20260717006622-fc55ea447a46,standard,zero,0,1,5,0,0,0,18,success,1,5,0,0,0,20,success,0.0,same
110,dense-20260718009254-8367057c68cc,dense,edge1,1,1,5,0,0,0,23,success,1,5,0,0,0,13,success,0.632,same
111,standard-20260717007060-41c216ee6e65,standard,zero,0,1,5,0,0,0,17,success,1,5,0,0,0,13,success,0.25,same
112,dense-20260718008662-8330d5ee213a,dense,multi,3,1,5,0,0,0,27,success,0,3,2,0,0,26,collision,0.466,oracle_degraded
113,dense-20260718009159-82c693204c0b,dense,multi,2,1,5,0,0,0,32,success,0,4,1,0,0,70,collision,0.389,oracle_degraded
114,standard-20260717006647-5ca039467bb6,standard,zero,0,1,5,0,0,0,23,success,1,5,0,0,0,40,success,0.082,same
115,dense-20260718008407-b29264fa5a20,dense,edge1,1,1,5,0,0,0,29,success,1,5,0,0,0,29,success,0.84,same
116,dense-20260718009161-f49c1bf982ff,dense,edge1,1,1,5,0,0,0,86,success,1,5,0,0,0,21,success,0.672,same
117,dense-20260718009317-db62e21fe167,dense,multi,3,0,2,3,0,0,100,collision,1,5,0,0,0,42,success,0.733,oracle_improved
118,standard-20260717006705-a17fa9c7c1f1,standard,zero,0,1,5,0,0,0,16,success,1,5,0,0,0,16,success,0.382,same
119,dense-20260718008225-9737b7426e4d,dense,edge1,1,1,5,0,0,0,27,success,1,5,0,0,0,19,success,0.887,same
120,standard-20260717007050-339a798a2931,standard,edge1,1,1,5,0,0,0,17,success,1,5,0,0,0,14,success,0.143,same
