seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,8,dense-20260718009741-8d3c7569dc30,r3,1,31,dense,standard,0.6611682772636414,0.3926086175826288,1,2,dense -> standard,dense:18;standard:13
20260910,8,dense-20260718009741-8d3c7569dc30,r4,1,5,dense,dense,0.5427439212799072,0.6399497032165528,0,1,dense,dense:5
20260910,8,dense-20260718009741-8d3c7569dc30,r5,1,23,dense,standard,0.6187536716461182,0.4745319211936515,1,2,dense -> standard,dense:16;standard:7
20260910,9,dense-20260718009780-747ab80ebbf1,r1,0,22,dense,standard,0.8396468162536621,0.753196809779514,1,2,dense -> standard,dense:18;standard:4
20260910,9,dense-20260718009780-747ab80ebbf1,r2,0,6,dense,dense,0.5611032247543335,0.550542970498403,0,1,dense,dense:6
20260910,9,dense-20260718009780-747ab80ebbf1,r3,0,9,dense,dense,0.878642201423645,0.7987643480300903,0,1,dense,dense:9
20260910,9,dense-20260718009780-747ab80ebbf1,r4,0,9,dense,dense,0.7525491714477539,0.6882610122362772,0,1,dense,dense:9
20260910,9,dense-20260718009780-747ab80ebbf1,r5,0,7,dense,dense,0.892892599105835,0.9562132017953056,0,1,dense,dense:7
20260910,10,dense-20260718009800-fde3d04b6b3e,r1,1,19,dense,standard,0.6488609313964844,0.3214028967838538,1,2,dense -> standard,dense:6;standard:13
20260910,10,dense-20260718009800-fde3d04b6b3e,r2,1,10,dense,dense,0.8581488728523254,0.8159532308578491,0,1,dense,dense:10
20260910,10,dense-20260718009800-fde3d04b6b3e,r3,1,12,dense,dense,0.786998450756073,0.8176893095175425,0,1,dense,dense:12
20260910,10,dense-20260718009800-fde3d04b6b3e,r4,1,22,dense,standard,0.805881142616272,0.4426048607988791,1,2,dense -> standard,dense:14;standard:8
20260910,10,dense-20260718009800-fde3d04b6b3e,r5,1,20,standard,dense,0.3636125326156616,0.526293084025383,1,1,standard -> dense,standard:4;dense:16
20260910,11,dense-20260718009811-20cf145f164c,r1,1,6,dense,dense,0.6068801879882812,0.659198542435964,0,1,dense,dense:6
20260910,11,dense-20260718009811-20cf145f164c,r2,1,44,dense,standard,0.657207190990448,0.286149843595922,1,2,dense -> standard,dense:24;standard:20
20260910,11,dense-20260718009811-20cf145f164c,r3,1,26,dense,standard,0.8536276817321777,0.5591355590866163,1,2,dense -> standard,dense:16;standard:10
20260910,11,dense-20260718009811-20cf145f164c,r4,1,15,dense,standard,0.8635345101356506,0.48440730770428975,1,2,dense -> standard,dense:8;standard:7
20260910,11,dense-20260718009811-20cf145f164c,r5,1,14,dense,standard,0.807671844959259,0.5301127678581646,1,2,dense -> standard,dense:10;standard:4
20260910,12,dense-20260718009592-73f6b5bf7b4e,r1,1,6,dense,dense,0.8426984548568726,0.8034792145093282,0,1,dense,dense:6
20260910,12,dense-20260718009592-73f6b5bf7b4e,r2,1,18,dense,standard,0.7265834212303162,0.3381687704887655,1,2,dense -> standard,dense:10;standard:8
20260910,12,dense-20260718009592-73f6b5bf7b4e,r3,1,15,dense,standard,0.80472731590271,0.7959210942188899,1,2,dense -> standard,dense:14;standard:1
20260910,12,dense-20260718009592-73f6b5bf7b4e,r4,1,17,dense,standard,0.5428570508956909,0.22626429566127412,1,2,dense -> standard,dense:6;standard:11
20260910,12,dense-20260718009592-73f6b5bf7b4e,r5,1,17,dense,standard,0.8065443634986877,0.5730964769335354,1,2,dense -> standard,dense:14;standard:3
20260910,13,dense-20260718009680-9dbec63d7b4a,r1,0,14,dense,dense,0.6182710528373718,0.6978466127599988,0,1,dense,dense:14
20260910,13,dense-20260718009680-9dbec63d7b4a,r2,0,13,dense,standard,0.44230687618255615,0.3459802567958832,1,2,dense -> standard,dense:8;standard:5
20260910,13,dense-20260718009680-9dbec63d7b4a,r3,0,30,dense,standard,0.8728517293930054,0.5244450266162555,1,2,dense -> standard,dense:18;standard:12
20260910,13,dense-20260718009680-9dbec63d7b4a,r4,0,211,dense,standard,0.6755481958389282,0.09581128991610631,1,2,dense -> standard,dense:16;standard:195
20260910,13,dense-20260718009680-9dbec63d7b4a,r5,0,9,dense,dense,0.9722253084182739,0.9469253288375007,0,1,dense,dense:9
20260910,14,dense-20260718009701-d763e0fcf8b8,r1,1,19,dense,standard,0.8448495864868164,0.6108710067836862,1,2,dense -> standard,dense:16;standard:3
